OBJECTID,BLDG_NUM,building_number,BLDG_TYPE,BLDG_NAME,ShowFeatur,latitude,longitude
275,210,210,Admin/Services,Kandeda Building,Yes,-84.39951967,33.7787625
276,211,211,Admin/Services,Campus Safety,Yes,-84.40331782,33.78120239
278,207,207,Academic/Research,CODA,Yes,-84.38767929,33.7755079
280,882,882,Admin/Services,818 Joseph E Lowery Blvd 30318,Yes,-84.41789214,33.77625159
281,319,319,Greek Housing,Phi Sigma Kappa,Yes,-84.39186841,33.77715172
282,187,187,Admin/Services,"Environmental Science, Health & Safety",Yes,-84.40475065,33.77441554
283,186,186,Admin/Services,Capital Assets Accounting Staging,Yes,-84.40352261,33.77361918
284,158,158,Academic,Digital Fabrication Lab / GTRI Machine Shop,Yes,-84.40155081,33.77166078
285,158A,158A,Academic,Digital Fabrication Lab / GTRI Machine Shop,Yes,-84.40190267,33.77175868
286,204,204,Academic/Research,Dalney Building,Yes,-84.40045636,33.77969235
287,205,205,Parking,Dalney Parking Deck,Yes,-84.40045197,33.78008811
288,NA,NA,NA,NA,Yes,-84.40205834,33.78094107
289,NA,NA,NA,NA,Yes,-84.40206422,33.78079759
290,NA,NA,NA,NA,Yes,-84.40206249,33.78068784
291,NA,NA,NA,NA,Yes,-84.40205599,33.7811089
292,780,780,Academic/Research,TEP Bullet,Yes,-84.39986919,33.76949808
293,785,785,Academic/Research,Technology Enterprise Park #1,Yes,-84.40241667,33.76975072
294,NA,NA,Greek Housing,NA,Yes,-84.3928069,33.77613988
295,217,217,Admin/Services,Exhibition Hall,Yes,-84.4016404,33.77463725
296,216,216,Admin/Services,Pavilion,Yes,-84.40075288,33.77479912
298,215,215,Admin/Services,Cafe,Yes,-84.40053227,33.77509469
